epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1008.24,1.01274,0.56458,1.13317,0.81538,0.77099,0.81513,0.4551,1.4389,0.72247,1.54992,0.000781033,0.000781033,0.000781033
62,1024.77,1.02814,0.58558,1.13855,0.85348,0.74348,0.83681,0.45026,1.441,0.74647,1.5555,0.000775534,0.000775534,0.000775534
63,1041.29,1.01174,0.55468,1.12632,0.80077,0.78644,0.84577,0.47239,1.46114,0.69268,1.60605,0.000770034,0.000770034,0.000770034
64,1057.8,1.01192,0.56845,1.12987,0.80798,0.78455,0.84924,0.48316,1.40287,0.69498,1.52287,0.000764535,0.000764535,0.000764535
65,1074.32,0.99662,0.5474,1.12602,0.86171,0.82221,0.86493,0.48685,1.43612,0.68399,1.54099,0.000759035,0.000759035,0.000759035
66,1090.86,0.99386,0.54767,1.11867,0.82919,0.7476,0.83162,0.45574,1.46297,0.69328,1.58101,0.000753536,0.000753536,0.000753536
67,1107.39,0.97604,0.54943,1.11125,0.75943,0.82055,0.84584,0.46567,1.47894,0.75412,1.56624,0.000748036,0.000748036,0.000748036
68,1123.94,0.96871,0.54818,1.11109,0.85006,0.8203,0.84887,0.46691,1.49454,0.72178,1.61748,0.000742537,0.000742537,0.000742537
69,1140.44,0.99484,0.54946,1.12272,0.83164,0.7959,0.82633,0.44965,1.50705,0.72127,1.59529,0.000737037,0.000737037,0.000737037
70,1156.93,0.98995,0.54598,1.10899,0.82888,0.73722,0.81121,0.44436,1.50374,0.74368,1.61965,0.000731538,0.000731538,0.000731538
71,1173.43,0.9619,0.53576,1.11024,0.89466,0.77113,0.8823,0.48566,1.46136,0.67382,1.61142,0.000726038,0.000726038,0.000726038
72,1189.96,0.96589,0.53281,1.10699,0.84623,0.85088,0.89174,0.48908,1.42941,0.65725,1.58602,0.000720539,0.000720539,0.000720539
73,1206.49,0.94928,0.53441,1.10971,0.83868,0.81024,0.85937,0.49125,1.43313,0.71084,1.55474,0.00071504,0.00071504,0.00071504
74,1223.02,0.96773,0.5295,1.09818,0.87654,0.81577,0.87308,0.47812,1.45591,0.70316,1.58113,0.00070954,0.00070954,0.00070954
75,1239.53,0.95698,0.5266,1.08505,0.84463,0.80076,0.85701,0.47193,1.47297,0.72666,1.60855,0.000704041,0.000704041,0.000704041
76,1256.09,0.93905,0.52768,1.10353,0.86321,0.82287,0.89046,0.48901,1.45219,0.67445,1.57522,0.000698541,0.000698541,0.000698541
77,1272.6,0.94147,0.52429,1.08632,0.86477,0.77888,0.85033,0.48171,1.41835,0.68829,1.53813,0.000693042,0.000693042,0.000693042
78,1289.11,0.96233,0.54527,1.09899,0.81506,0.80562,0.83081,0.4698,1.43256,0.67244,1.5738,0.000687542,0.000687542,0.000687542
79,1305.6,0.94277,0.52434,1.09248,0.85534,0.76496,0.82576,0.45638,1.47301,0.708,1.6369,0.000682043,0.000682043,0.000682043
80,1322.09,0.93264,0.52107,1.09544,0.80216,0.83491,0.86116,0.48188,1.43601,0.69078,1.57543,0.000676543,0.000676543,0.000676543
81,1338.56,0.95867,0.52311,1.10454,0.85735,0.76545,0.8603,0.46927,1.47466,0.70329,1.60967,0.000671044,0.000671044,0.000671044
82,1355.07,0.93442,0.50838,1.0768,0.85473,0.79245,0.86557,0.47216,1.47273,0.72114,1.60377,0.000665545,0.000665545,0.000665545
83,1371.61,0.90732,0.49387,1.06973,0.84062,0.81893,0.86292,0.48214,1.47467,0.68557,1.63558,0.000660045,0.000660045,0.000660045
84,1388.1,0.88996,0.49202,1.0685,0.84893,0.80437,0.8569,0.48658,1.45675,0.684,1.60799,0.000654546,0.000654546,0.000654546
85,1404.59,0.90257,0.48945,1.06824,0.80363,0.82437,0.84253,0.46999,1.45935,0.71331,1.62051,0.000649046,0.000649046,0.000649046
86,1421.13,0.90171,0.50747,1.07192,0.82627,0.82848,0.86263,0.4749,1.47063,0.67733,1.65019,0.000643547,0.000643547,0.000643547
87,1437.65,0.89694,0.49927,1.07257,0.9235,0.77555,0.88187,0.49312,1.42429,0.6816,1.58815,0.000638047,0.000638047,0.000638047
88,1454.22,0.90338,0.49958,1.07423,0.86696,0.81127,0.87859,0.49102,1.4467,0.69961,1.62683,0.000632548,0.000632548,0.000632548
89,1470.67,0.88523,0.48348,1.05313,0.88745,0.82526,0.87505,0.48139,1.44086,0.65807,1.57897,0.000627048,0.000627048,0.000627048
90,1487.21,0.90004,0.49015,1.05762,0.87305,0.83604,0.88105,0.49019,1.47555,0.66774,1.62372,0.000621549,0.000621549,0.000621549
91,1503.72,0.91988,0.51177,1.08001,0.89134,0.73844,0.84132,0.46327,1.47468,0.78239,1.61552,0.000616049,0.000616049,0.000616049
92,1520.18,0.89462,0.49489,1.06496,0.80921,0.75578,0.8256,0.47089,1.45186,0.7237,1.60366,0.00061055,0.00061055,0.00061055
93,1536.72,0.8725,0.48074,1.06236,0.91949,0.77754,0.87043,0.47609,1.47512,0.70565,1.6467,0.000605051,0.000605051,0.000605051
94,1553.21,0.88282,0.48138,1.06397,0.8356,0.83952,0.86574,0.46094,1.4867,0.70899,1.64958,0.000599551,0.000599551,0.000599551
95,1569.71,0.85805,0.48396,1.04233,0.84831,0.83115,0.87091,0.47757,1.46547,0.72355,1.62769,0.000594052,0.000594052,0.000594052
96,1586.17,0.85032,0.47197,1.06409,0.88907,0.79982,0.8724,0.47435,1.48517,0.72075,1.67759,0.000588552,0.000588552,0.000588552
97,1602.67,0.87297,0.47382,1.05305,0.82031,0.7922,0.85141,0.47253,1.46511,0.67678,1.64808,0.000583053,0.000583053,0.000583053
98,1619.24,0.87231,0.47426,1.0605,0.90012,0.80207,0.86645,0.47729,1.48778,0.68037,1.68759,0.000577553,0.000577553,0.000577553
99,1635.72,0.8548,0.46954,1.05508,0.90264,0.7433,0.84384,0.47701,1.44063,0.71162,1.61285,0.000572054,0.000572054,0.000572054
100,1652.19,0.84392,0.46219,1.04268,0.88199,0.82955,0.87939,0.49809,1.45284,0.71169,1.61487,0.000566554,0.000566554,0.000566554
101,1668.71,0.86652,0.47716,1.05401,0.83339,0.74533,0.82926,0.48065,1.45548,0.7232,1.6327,0.000561055,0.000561055,0.000561055
102,1685.27,0.83604,0.46601,1.04269,0.87523,0.77896,0.86176,0.46985,1.49528,0.72976,1.66975,0.000555556,0.000555556,0.000555556
103,1701.75,0.85454,0.47136,1.03798,0.84346,0.79187,0.86081,0.47384,1.45717,0.72348,1.62123,0.000550056,0.000550056,0.000550056
104,1718.26,0.8255,0.45487,1.02449,0.85121,0.85265,0.88811,0.48184,1.45959,0.67873,1.6493,0.000544557,0.000544557,0.000544557
105,1734.83,0.82683,0.45893,1.02417,0.85884,0.84131,0.88454,0.49585,1.4356,0.6912,1.61211,0.000539057,0.000539057,0.000539057
106,1751.35,0.83541,0.4579,1.0457,0.88117,0.79391,0.87505,0.48847,1.46383,0.688,1.63254,0.000533558,0.000533558,0.000533558
107,1767.81,0.81661,0.44476,1.02605,0.80643,0.82465,0.86044,0.47771,1.47222,0.67745,1.65054,0.000528058,0.000528058,0.000528058
108,1784.34,0.82536,0.45272,1.0368,0.83804,0.82372,0.87442,0.4926,1.4664,0.7031,1.67069,0.000522559,0.000522559,0.000522559
109,1800.87,0.81289,0.44685,1.02521,0.81092,0.84343,0.85315,0.48306,1.43765,0.71395,1.63933,0.000517059,0.000517059,0.000517059
110,1817.34,0.83272,0.44851,1.02106,0.87697,0.83177,0.89633,0.49575,1.4487,0.68879,1.61935,0.00051156,0.00051156,0.00051156
111,1833.86,0.82233,0.45299,1.0295,0.88975,0.8036,0.87521,0.49526,1.45807,0.68392,1.65573,0.00050606,0.00050606,0.00050606
112,1850.44,0.8065,0.44814,1.02662,0.89652,0.79691,0.86902,0.4887,1.44304,0.68676,1.6503,0.000500561,0.000500561,0.000500561
113,1866.95,0.79722,0.43485,1.01586,0.85954,0.81783,0.88634,0.50371,1.42945,0.68264,1.64852,0.000495062,0.000495062,0.000495062
114,1883.48,0.80518,0.44502,1.02607,0.81454,0.83468,0.84492,0.47308,1.43194,0.69929,1.65643,0.000489562,0.000489562,0.000489562
115,1900.03,0.79382,0.43213,1.01628,0.85254,0.8235,0.86735,0.49254,1.45542,0.68763,1.66404,0.000484063,0.000484063,0.000484063
116,1916.5,0.79436,0.43778,1.02494,0.87768,0.79596,0.87184,0.49575,1.43768,0.69003,1.64032,0.000478563,0.000478563,0.000478563
117,1933.02,0.80511,0.44254,1.01712,0.89784,0.80891,0.88731,0.5039,1.42934,0.69002,1.60565,0.000473064,0.000473064,0.000473064
118,1949.52,0.77902,0.42895,1.01912,0.82911,0.80721,0.84871,0.48362,1.45993,0.70858,1.6456,0.000467564,0.000467564,0.000467564
119,1966.02,0.78846,0.43526,1.01403,0.84096,0.84315,0.87068,0.50009,1.4404,0.69059,1.65019,0.000462065,0.000462065,0.000462065
120,1982.57,0.77539,0.43,1.00523,0.83833,0.79426,0.86003,0.4924,1.43131,0.71171,1.64593,0.000456565,0.000456565,0.000456565
121,1999.04,0.77767,0.422,1.00545,0.80715,0.82849,0.86786,0.49211,1.44961,0.71685,1.64326,0.000451066,0.000451066,0.000451066
122,2015.56,0.75744,0.41878,1.0062,0.82252,0.82215,0.85211,0.49174,1.46137,0.72255,1.67932,0.000445567,0.000445567,0.000445567
123,2032.03,0.772,0.42771,1.01324,0.82391,0.79421,0.86283,0.4846,1.45811,0.69314,1.67704,0.000440067,0.000440067,0.000440067
124,2048.58,0.7629,0.42382,1.01539,0.81975,0.77314,0.854,0.48815,1.43076,0.70901,1.61992,0.000434568,0.000434568,0.000434568
125,2065.1,0.75802,0.42265,1.00668,0.86585,0.82709,0.86911,0.49727,1.45987,0.74165,1.66615,0.000429068,0.000429068,0.000429068
126,2081.6,0.76474,0.42053,0.99862,0.79666,0.80879,0.85031,0.47766,1.44639,0.70512,1.67711,0.000423569,0.000423569,0.000423569
127,2098.15,0.75149,0.41523,0.98997,0.88722,0.74838,0.8492,0.47853,1.44922,0.7019,1.67035,0.000418069,0.000418069,0.000418069
128,2114.66,0.74111,0.41552,0.99229,0.81143,0.82121,0.85987,0.4866,1.44584,0.73678,1.66991,0.00041257,0.00041257,0.00041257
129,2131.18,0.75469,0.41184,0.9908,0.82131,0.82686,0.86103,0.48479,1.45137,0.73532,1.67008,0.00040707,0.00040707,0.00040707
130,2147.7,0.73663,0.41193,0.99075,0.81698,0.82907,0.8532,0.49011,1.43922,0.70394,1.65948,0.000401571,0.000401571,0.000401571
131,2164.25,0.7549,0.41728,0.9946,0.90421,0.75303,0.87262,0.49287,1.44118,0.70388,1.68498,0.000396071,0.000396071,0.000396071
132,2180.82,0.74734,0.40607,0.99774,0.88642,0.80937,0.87673,0.50326,1.42145,0.70223,1.65016,0.000390572,0.000390572,0.000390572
133,2197.33,0.75515,0.41236,0.99259,0.88972,0.81441,0.87912,0.49753,1.4346,0.70504,1.67794,0.000385073,0.000385073,0.000385073
134,2213.86,0.74189,0.41324,0.99844,0.88295,0.79041,0.87317,0.49518,1.40807,0.6984,1.64852,0.000379573,0.000379573,0.000379573
135,2230.36,0.72703,0.40346,0.98293,0.84697,0.82639,0.87269,0.49823,1.44763,0.70528,1.68342,0.000374074,0.000374074,0.000374074
136,2246.85,0.72815,0.40477,0.9787,0.89509,0.79443,0.88505,0.51309,1.42416,0.70745,1.63888,0.000368574,0.000368574,0.000368574
137,2263.39,0.71695,0.39912,0.98161,0.8626,0.84094,0.8853,0.50796,1.43314,0.69479,1.66241,0.000363075,0.000363075,0.000363075
138,2279.87,0.72617,0.40537,0.98224,0.92751,0.74824,0.86518,0.48392,1.45615,0.74172,1.6922,0.000357575,0.000357575,0.000357575
139,2296.36,0.72383,0.39249,0.97586,0.90863,0.80674,0.88355,0.50747,1.43198,0.72594,1.67667,0.000352076,0.000352076,0.000352076
140,2312.85,0.72652,0.39758,0.98206,0.8661,0.82536,0.87959,0.504,1.45943,0.72485,1.69616,0.000346576,0.000346576,0.000346576
141,2329.34,0.72395,0.40764,0.98153,0.84162,0.80773,0.87014,0.49584,1.4354,0.70665,1.67402,0.000341077,0.000341077,0.000341077
142,2345.91,0.72231,0.4034,0.97834,0.90501,0.81368,0.89173,0.51093,1.4546,0.7018,1.6901,0.000335578,0.000335578,0.000335578
143,2362.37,0.70177,0.39267,0.97401,0.90952,0.79515,0.87861,0.49428,1.44618,0.70284,1.68196,0.000330078,0.000330078,0.000330078
144,2378.91,0.71557,0.39179,0.9853,0.91243,0.73419,0.85498,0.49521,1.44547,0.71456,1.69305,0.000324579,0.000324579,0.000324579
145,2395.4,0.71195,0.3975,0.97972,0.85331,0.81026,0.8697,0.48386,1.46997,0.70579,1.71236,0.000319079,0.000319079,0.000319079
146,2411.91,0.69941,0.38559,0.96692,0.87556,0.77699,0.86126,0.48145,1.48143,0.74373,1.73122,0.00031358,0.00031358,0.00031358
147,2428.4,0.71231,0.39192,0.97756,0.84439,0.76541,0.83272,0.47637,1.45777,0.7385,1.71804,0.00030808,0.00030808,0.00030808
148,2444.89,0.69854,0.39593,0.975,0.90138,0.76218,0.86752,0.50066,1.44135,0.69254,1.69484,0.000302581,0.000302581,0.000302581
149,2461.49,0.67781,0.38326,0.97561,0.87733,0.7859,0.86884,0.49826,1.45394,0.69894,1.72507,0.000297081,0.000297081,0.000297081
150,2477.97,0.68506,0.38318,0.96621,0.88352,0.78837,0.86107,0.4928,1.44698,0.68635,1.71144,0.000291582,0.000291582,0.000291582
151,2494.48,0.67785,0.37587,0.96447,0.89018,0.78425,0.86657,0.49157,1.45294,0.70139,1.70988,0.000286083,0.000286083,0.000286083
152,2510.98,0.68454,0.3855,0.97045,0.83283,0.81127,0.86546,0.499,1.45686,0.67548,1.71173,0.000280583,0.000280583,0.000280583
153,2527.47,0.67593,0.37636,0.96015,0.80834,0.81591,0.86796,0.50031,1.44701,0.69672,1.68002,0.000275084,0.000275084,0.000275084
154,2543.97,0.68172,0.37561,0.96732,0.86395,0.7904,0.87514,0.50278,1.44752,0.72627,1.7112,0.000269584,0.000269584,0.000269584
155,2560.48,0.68296,0.37895,0.96337,0.84174,0.80326,0.87139,0.49615,1.44441,0.71933,1.71853,0.000264085,0.000264085,0.000264085
156,2577.09,0.66472,0.37322,0.9578,0.85355,0.83303,0.87282,0.50037,1.44214,0.70379,1.70863,0.000258585,0.000258585,0.000258585
157,2593.57,0.67389,0.38004,0.96701,0.89018,0.81839,0.87714,0.5009,1.45397,0.74701,1.7262,0.000253086,0.000253086,0.000253086
158,2610.05,0.68618,0.38509,0.96792,0.85772,0.78503,0.87039,0.49587,1.4594,0.72942,1.74205,0.000247586,0.000247586,0.000247586
159,2626.56,0.66899,0.37276,0.95803,0.85764,0.81285,0.87402,0.50106,1.45609,0.70976,1.74231,0.000242087,0.000242087,0.000242087
160,2643.06,0.66367,0.36297,0.96112,0.81875,0.83692,0.85927,0.49786,1.44015,0.70751,1.71656,0.000236587,0.000236587,0.000236587
